,id,retweet_count,favorite_count
0,892420643555336193,8704,39157
1,892177421306343426,6387,33532
2,891815181378084864,4244,25271
3,891689557279858688,8803,42509
4,891327558926688256,9587,40671
5,891087950875897856,3180,20403
6,890971913173991426,2118,11959
7,890729181411237888,19294,66157
8,890609185150312448,4341,28002
9,890240255349198849,7574,32215
10,890006608113172480,7485,30893
11,889880896479866881,5064,28016
12,889665388333682689,10255,48342
13,889638837579907072,4636,27416
14,889531135344209921,2272,15226
15,889278841981685760,5551,25518
16,888917238123831296,4598,29328
17,888804989199671297,4453,25816
18,888554962724278272,3671,20101
19,892420643555336193,8704,39157
20,892177421306343426,6387,33532
21,891815181378084864,4244,25271
22,891689557279858688,8803,42509
23,891327558926688256,9587,40671
24,891087950875897856,3180,20403
25,890971913173991426,2118,11959
26,890729181411237888,19294,66157
27,890609185150312448,4341,28002
28,890240255349198849,7574,32215
29,890006608113172480,7485,30893
30,889880896479866881,5064,28016
31,889665388333682689,10255,48342
32,889638837579907072,4636,27416
33,889531135344209921,2272,15226
34,889278841981685760,5551,25519
35,888917238123831296,4598,29328
36,888804989199671297,4453,25816
37,888554962724278272,3671,20101
38,892177421306343426,6387,33532
39,891815181378084864,4244,25271
40,891689557279858688,8803,42509
41,891327558926688256,9587,40671
42,891087950875897856,3180,20403
43,890971913173991426,2118,11959
44,890729181411237888,19294,66157
45,890609185150312448,4341,28002
46,890240255349198849,7574,32215
47,890006608113172480,7485,30893
48,889880896479866881,5064,28016
49,889665388333682689,10255,48342
50,889638837579907072,4636,27416
51,889531135344209921,2272,15226
52,889278841981685760,5551,25519
53,888917238123831296,4598,29328
54,888804989199671297,4453,25816
55,888554962724278272,3671,20101
56,888078434458587136,3590,21966
57,887705289381826560,5507,30467
58,887517139158093824,11894,46598
59,887473957103951883,18633,69752
60,887343217045368832,10602,33963
61,887101392804085760,6082,30821
62,886983233522544640,7932,35507
63,886736880519319552,3367,12184
64,886680336477933568,4555,22628
65,886366144734445568,3250,21319
66,886267009285017600,4,117
67,886258384151887873,6412,28222
68,886054160059072513,105,0
69,885984800019947520,6947,33029
70,885528943205470208,6566,36320
71,885518971528720385,3838,20606
72,885311592912609280,18973,0
73,885167619883638784,4465,22133
74,884925521741709313,18896,78272
75,884876753390489601,5967,28207
76,884562892145688576,5028,24522
77,884441805382717440,5775,27235
78,884247878851493888,20826,73636
79,884162670584377345,3053,20558
80,883838122936631299,3520,22092
81,883482846933004288,10192,46379
82,883360690899218434,3763,22749
83,883117836046086144,6810,37561
84,882992080364220416,4024,24163
85,882762694511734784,5022,28604
86,882627270321602560,6213,28134
87,882268110199369728,11838,45379
88,882045870035918850,5099,29624
89,881906580714921986,3459,24520
90,881666595344535552,10918,51019
91,881633300179243008,7,129
92,881536004380872706,16315,49908
93,881268444196462592,5256,23277
