,tweet_id,timestamp,text,rating_numerator,rating_denominator,name,retweet_count,favorite_count,jpg_url,predicted_breed
0,892420643555336193,2017-08-01 16:23:56 +0000,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10,13,10,Phineas,8704,39157,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,welsh springer spaniel
2,892177421306343426,2017-08-01 00:17:27 +0000,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10",13,10,Tilly,6387,33532,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,redbone
5,891815181378084864,2017-07-31 00:18:03 +0000,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10,12,10,Archie,4244,25271,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,german shepherd
7,891689557279858688,2017-07-30 15:58:51 +0000,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us,13,10,Darla,8803,42509,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,rhodesian ridgeback
10,891327558926688256,2017-07-29 16:00:24 +0000,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek",12,10,Franklin,9587,40671,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,miniature pinscher
19,890609185150312448,2017-07-27 16:25:51 +0000,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek,13,10,Zoey,4341,28002,https://pbs.twimg.com/media/CT-D2ZHWIAA3gK1.jpg,chihuahua
20,890240255349198849,2017-07-26 15:59:51 +0000,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate,14,10,Cassie,7574,32215,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,miniature poodle
23,890006608113172480,2017-07-26 00:31:25 +0000,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek,13,10,Koda,7485,30893,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,golden retriever
25,889880896479866881,2017-07-25 16:11:53 +0000,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy,13,10,Bruno,5064,28016,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,gordon setter
31,889638837579907072,2017-07-25 00:10:02 +0000,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist,12,10,Ted,4636,27416,https://pbs.twimg.com/media/CT5m4VGWEAAtKc8.jpg,pug
33,889531135344209921,2017-07-24 17:02:04 +0000,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek,13,10,Stuart,2272,15226,https://pbs.twimg.com/media/CT5w9gUW4AAsBNN.jpg,bloodhound
34,889278841981685760,2017-07-24 00:19:32 +0000,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek,13,10,Oliver,5551,25518,https://pbs.twimg.com/media/CT51-JJUEAA6hV8.jpg,lhasa
38,888917238123831296,2017-07-23 00:22:39 +0000,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both,12,10,Jim,4598,29328,https://pbs.twimg.com/media/CT54YGiWUAEZnoK.jpg,english setter
40,888804989199671297,2017-07-22 16:56:37 +0000,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best,13,10,Zeke,4453,25816,https://pbs.twimg.com/media/CT-yU5QWwAEjLX5.jpg,curly-coated retriever
42,888554962724278272,2017-07-22 00:23:06 +0000,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af,13,10,Ralphus,3671,20101,https://pbs.twimg.com/media/CT-5Bs-WUAA2JeC.jpg,dalmatian
44,887705289381826560,2017-07-19 16:06:48 +0000,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic,13,10,Jeffrey,5507,30467,https://pbs.twimg.com/media/CUHr8WbWEAEBPgf.jpg,chihuahua
46,887473957103951883,2017-07-19 00:47:34 +0000,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her,13,10,Canela,18633,69752,https://pbs.twimg.com/media/CUIV6F7XIAA1tAM.jpg,pembroke
49,886983233522544640,2017-07-17 16:17:36 +0000,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in,13,10,Maya,7932,35507,https://pbs.twimg.com/media/CUI6uuaW4AAvCIs.jpg,golden retriever
50,886736880519319552,2017-07-16 23:58:41 +0000,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff",13,10,Mingus,3367,12184,https://pbs.twimg.com/media/CUI_kHBWsAAAef5.jpg,miniature pinscher
51,886680336477933568,2017-07-16 20:14:00 +0000,This is Derek. He's late for a dog meeting. 13/10 pet...al to the metal,13,10,Derek,4555,22628,https://pbs.twimg.com/media/CUJEuRIXIAAPDLt.jpg,giant schnauzer
52,886366144734445568,2017-07-15 23:25:31 +0000,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe,12,10,Roscoe,3250,21319,https://pbs.twimg.com/media/CUJIFoJWsAAL3Dc.jpg,toy poodle
53,886258384151887873,2017-07-15 16:17:19 +0000,This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles,13,10,Waffles,6412,28222,https://pbs.twimg.com/media/CUJK18UWEAEg7AR.jpg,vizsla
54,885528943205470208,2017-07-13 15:58:47 +0000,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly,13,10,Maisey,6566,36320,https://pbs.twimg.com/media/CUJXpRBXIAAN0yz.jpg,rottweiler
